identifier,label_str,label_int
ACOPOA,cocrystal,2
ACOPUG,cocrystal,2
ACOSIV,salt,1
ACOSOB,salt,1
ACOSUH,salt,1
ACOVOE,salt,1
ACOYOG,cocrystal,2
ACOYUM,cocrystal,2
ACOZIB,solvate,4
ACOZOI,hydrate,3
ACRMSB,salt,1
ACTHCO10,salt,1
ACUBAC,hydrate,3
ACUDAG,cocrystal,2
ACUDEK,cocrystal,2
ACUDIO,cocrystal,2
ACUKIV,hydrate,3
ACUPIX,salt,1
ACUXIG,hydrate,3
ADAGUL,cocrystal,2
ADAHAR,hydrate,3
ADAKAR,solvate,4
ADALAS,solvate,4
ADALEW,solvate,4
ADALIA,salt,1
ADAPUR,salt,1
ADAQIG,salt,1
ADARIH,cocrystal,2
ADASEE,salt,1
ADATIJ,salt,1
ADAVIK,hydrate,3
ADAVOQ,hydrate,3
ADAVUW,salt,1
ADAWIP,salt,1
ADAWOV,hydrate,3
ADEBOE,salt,1
ADECIW,cocrystal,2
ADEDIX,cocrystal,2
ADEHAV,salt,1
ADEHEA,salt,1
ADEHUN,salt,1
ADELOX10,salt,1
ADENIJ,salt,1
ADENPH,salt,1
ADENSL,salt,1
ADEPOO,solvate,4
ADEPUU,salt,1
ADEQAB,salt,1
ADEQEJ,solvate,4
ADESEI,salt,1
ADESON10,salt,1
ADESUL,hydrate,3
ADETOT,cocrystal,2
ADEYOA,salt,1
ADEYUG,salt,1
ADEZER,salt,1
ADIFIE,cocrystal,2
ADIHOK,cocrystal,2
ADIHOL,salt,1
ADIJIH,hydrate,3
ADIJUT,hydrate,3
ADIKII,salt,1
ADIZIA,salt,1
ADMINA,salt,1
ADMPOS10,salt,1
ADOFIJ,cocrystal,2
ADOHEI,cocrystal,2
ADOKIN,salt,1
ADOSBU,cocrystal,2
ADOTAO,cocrystal,2
ADOZOI,salt,1
ADRBFT10,hydrate,3
ADRTAR,salt,1
ADUBOU,salt,1
ADUCEI,salt,1
ADUCIM,salt,1
ADULEQ,cocrystal,2
ADUNIA,hydrate,3
ADUPUL,solvate,4
ADUQEZ,cocrystal,2
ADUWIG,salt,1
ADUYUX,salt,1
AFABEP,cocrystal,2
AFABOZ,cocrystal,2
AFABUF,cocrystal,2
AFAJOK,solvate,4
AFAKOJ,salt,1
AFALAW,salt,1
AFAYAI,salt,1
AFAYEO,salt,1
AFAYIS,salt,1
AFAYUB,salt,1
AFAZAI,cocrystal,2
AFEBES,salt,1
AFEBIW,solvate,4
AFEBIY,salt,1
AFEDIY,salt,1
AFEDOE,salt,1
AFEDUK,salt,1
AFEFAS,salt,1
AFEFID,hydrate,3
AFEMIJ,cocrystal,2
AFEQEJ,cocrystal,2
AFEQIN,cocrystal,2
AFEQOT,cocrystal,2
AFEQOU,salt,1
AFEQUZ,cocrystal,2
AFERAG,cocrystal,2
AFEREK,cocrystal,2
AFESOU,salt,1
AFEYIU,salt,1
AFICEZ,salt,1
AFICID,cocrystal,2
AFIGED,cocrystal,2
AFIJAC,salt,1
AFIJEF,salt,1
AFIKEG,salt,1
AFIMOV,hydrate,3
AFINEJ,salt,1
AFIQEL,salt,1
AFIQEN,solvate,4
AFIQOX,salt,1
AFIREO,salt,1
AFIRIU,cocrystal,2
AFIROA,cocrystal,2
AFITOA,salt,1
AFITUG,salt,1
AFIVAO,salt,1
AFIWUK,salt,1
AFIXOG,cocrystal,2
AFIXUM,cocrystal,2
AFIYAT,cocrystal,2
AFIYEX,hydrate,3
AFIYIB,hydrate,3
AFIYOF,cocrystal,2
AFOHIO,salt,1
AFONIV,cocrystal,2
AFONOB,cocrystal,2
AFONUH,cocrystal,2
AFOPAP,cocrystal,2
AFOPIX,cocrystal,2
AFOPOD,cocrystal,2
AFOQAN,salt,1
AFOQIX,salt,1
AFUGAN,salt,1
AFUGER,hydrate,3
AFUHAM,hydrate,3
AFUHEQ,salt,1
AFUHIU,salt,1
AFUHUG,cocrystal,2
AFUJAO,salt,1
AFUJES,salt,1
AFUJIW,salt,1
AFUJOC,salt,1
AFULIZ,salt,1
AFULOF,salt,1
AFUNOF,salt,1
AFUNUL,salt,1
AFUNUM,salt,1
AFUPAT,salt,1
AFUROL,cocrystal,2
AFUSEC,salt,1
AFUVEG,cocrystal,2
AFUVON,solvate,4
AFUZAC,salt,1
AGAGAU,hydrate,3
AGAHUN,salt,1
AGAJAV,salt,1
AGAPAB,salt,1
AGAPOP,salt,1
AGAPUV,salt,1
AGAQEG,salt,1
AGAQIK,salt,1
AGAQOQ,hydrate,3
AGASOS,cocrystal,2
AGAVEJ,hydrate,3
AGECEX,salt,1
AGECOI,salt,1
AGEDAU,salt,1
AGEGOM,solvate,4
AGEJAA,hydrate,3
AGEQIN,salt,1
AGEQIO,hydrate,3
AGEREN,salt,1
AGEROV,salt,1
AGEWAO,cocrystal,2
AGEXER,salt,1
AGEXIV,salt,1
AGEYIX,salt,1
AGEYOD,solvate,4
AGIBAW,hydrate,3
AGIGEE,cocrystal,2
AGIGUU,hydrate,3
AGIHEF,hydrate,3
AGIHOP,salt,1
AGIJAF,cocrystal,2
AGIJIN,cocrystal,2
AGIKUY,hydrate,3
AGIPUD,solvate,4
AGITUJ,cocrystal,2
AGIVAR,cocrystal,2
AGOCIK,salt,1
AGOCOQ,salt,1
AGOKUC,salt,1
AGONOA,salt,1
AGOPEU,cocrystal,2
AGOPIY,hydrate,3
AGOQOE,salt,1
AGORAS,cocrystal,2
AGOREW,cocrystal,2
AGOSOI,solvate,4
AGOSUN,salt,1
AGOSUO,cocrystal,2
AGOTAT,salt,1
AGOTAV,cocrystal,2
AGOTEY,salt,1
AGOTEZ,solvate,4
AGOVIE,salt,1
AGUFUH,salt,1
AGUJAO,hydrate,3
AGULIA,cocrystal,2
AGUSEB,hydrate,3
AGUSIF,salt,1
AGUTON,hydrate,3
AGUTUT,hydrate,3
AHASUX,cocrystal,2
AHATAE,cocrystal,2
AHATEI,cocrystal,2
AHATIM,cocrystal,2
AHAWUD,solvate,4
AHAXUE,solvate,4
AHCABS,salt,1
AHCNPI,salt,1
AHCROC10,salt,1
AHENUW,salt,1
AHERAG,salt,1
AHEROU,hydrate,3
AHEVIT,cocrystal,2
AHEVOB,cocrystal,2
AHEVOZ,cocrystal,2
AHGLUT,salt,1
AHIRER,solvate,4
AHOREW,hydrate,3
AHORIA,hydrate,3
AHOROG,hydrate,3
AHOSAR,salt,1
AHOVOJ,salt,1
AHOXLH,hydrate,3
AHPHAL,salt,1
AHTPAL,salt,1
AHUDAK,salt,1
AHUDIS,salt,1
AHULAS,salt,1
AHULOG,salt,1
AHUVEH,salt,1
AHUYIL,salt,1
AIPMLM,salt,1
AJACOF,cocrystal,2
AJACOG,hydrate,3
AJACUM,hydrate,3
AJADEX,salt,1
AJAGEX,cocrystal,2
AJAGIB,cocrystal,2
AJAGOH,cocrystal,2
AJAGUN,cocrystal,2
AJAHEY,cocrystal,2
AJAHIC,cocrystal,2
AJAHOI,cocrystal,2
AJAHUO,cocrystal,2
AJAJEA,cocrystal,2
AJAKAX,cocrystal,2
AJAKEB,cocrystal,2
AJAKOL,cocrystal,2
AJAKUR,cocrystal,2
AJALAY,cocrystal,2
AJALEC,cocrystal,2
AJAMIJ,solvate,4
AJAQOU,salt,1
AJARAF,salt,1
AJARIN,hydrate,3
AJAROV,solvate,4
AJASAG,salt,1
AJASEK,salt,1
AJAVAK,cocrystal,2
AJEBOG,salt,1
AJECAT,salt,1
AJEQIP,salt,1
AJEQOV,salt,1
AJESEQ,salt,1
AJEYIY,salt,1
AJEZAR,hydrate,3
AJEZEV,cocrystal,2
AJIDII,salt,1
AJISIX,cocrystal,2
AJISOD,cocrystal,2
AJISUI,salt,1
AJIVAR,hydrate,3
AJIWIA,cocrystal,2
AJIXEX,solvate,4
AJODAH,salt,1
AJODOU,hydrate,3
AJODUB,cocrystal,2
AJOFUA,hydrate,3
AJOGAJ,cocrystal,2
AJOGEN,cocrystal,2
AJOGOX,cocrystal,2
AJOGUE,cocrystal,2
AJOHAL,cocrystal,2
AJOHEM,salt,1
AJOHEP,cocrystal,2
AJOHOW,salt,1
AJOHOZ,cocrystal,2
AJOHUC,hydrate,3
AJOHUF,cocrystal,2
AJOLOB,salt,1
AJOMOE,cocrystal,2
AJORUO,salt,1
AJOSEZ,salt,1
AJOVIF,salt,1
AJOZIL,cocrystal,2
AJOZOR,cocrystal,2
AJUBOZ,hydrate,3
AJUKIZ,salt,1
AJULEW,salt,1
AJUMIC,cocrystal,2
AJUMOH,hydrate,3
AJUSOO,cocrystal,2
AJUVOS,salt,1
AJUVUW,salt,1
AJUXOS,cocrystal,2
AJUXUY,cocrystal,2
AJUYAF,cocrystal,2
AJUYIN,cocrystal,2
AKAQIM,salt,1
AKAQOS,salt,1
AKASAG,cocrystal,2
AKASEK,cocrystal,2
AKATUB,cocrystal,2
AKATUC,salt,1
AKAVEN,solvate,4
AKAVIR,hydrate,3
AKAWAN,salt,1
AKAXES,salt,1
AKAXIW,salt,1
AKEMOU,salt,1
AKENEK,cocrystal,2
AKENUA,salt,1
AKEQUD,cocrystal,2
AKEREN,salt,1
AKESAK,salt,1
AKETOZ,salt,1
AKIBOM,cocrystal,2
AKIGAE,cocrystal,2
AKISEU,cocrystal,2
AKITAR,solvate,4
AKIXID,cocrystal,2
AKIXOH,hydrate,3
AKIXOJ,cocrystal,2
AKIXUP,cocrystal,2
AKIYAW,cocrystal,2
AKIYEA,cocrystal,2
AKIYIE,cocrystal,2
AKIZAV,salt,1
AKOCIO,cocrystal,2
AKOFUB,hydrate,3
AKOHIT,solvate,4
AKOJAM,salt,1
AKOJEQ,solvate,4
AKOTOJ,cocrystal,2
AKOXON,salt,1
AKOZEF,solvate,4
AKUSOP,salt,1
AKUSUW,solvate,4
AKUVIO,salt,1
AKUZUD,cocrystal,2
ALABEU,hydrate,3
ALACAT,cocrystal,2
ALAHEA,cocrystal,2
ALAMEF,salt,1
ALAPIO,solvate,4
ALATEN,solvate,4
ALEDIH,salt,1
ALETIW,hydrate,3
ALETOC,cocrystal,2
ALIGEH,hydrate,3
ALIGIL,salt,1
ALIGUZ,hydrate,3
ALIWID,salt,1
ALIWIE,salt,1
ALIWUQ,salt,1
ALODAH,hydrate,3
ALOKIW,salt,1
ALOLAP,salt,1
ALOLIW,cocrystal,2
ALOQIC,salt,1
ALOQOI,salt,1
ALOQUO,salt,1
ALORAV,salt,1
ALORIF,cocrystal,2
ALOROL,cocrystal,2
ALOTEA,salt,1
ALOTIE,salt,1
ALOWUW,salt,1
ALUCIV,solvate,4
ALUHAS,salt,1
ALULOK,hydrate,3
ALUMAV,cocrystal,2
ALUMID,cocrystal,2
ALUMOJ,cocrystal,2
ALUNOK,salt,1
ALURUW,salt,1
ALZFLR,solvate,4
AMACET,salt,1
AMACEY,cocrystal,2
AMAKUV,salt,1
AMANNS,hydrate,3
AMAPEK,hydrate,3
AMAQUD,salt,1
AMAREO,salt,1
AMARIS,salt,1
AMASEO,hydrate,3
AMASIS,hydrate,3
AMATEO,hydrate,3
AMAVEP,salt,1
AMAYIZ,salt,1
AMAYOF,solvate,4
AMAYUL,salt,1
AMAZAS,salt,1
AMBARB,salt,1
AMBSAM10,cocrystal,2
AMCLAN10,hydrate,3
AMCYME,salt,1
AMDFAC,salt,1
AMDMCN,salt,1
AMEBUS,salt,1
AMECUT,salt,1
AMEMAI,salt,1
AMEQIS,cocrystal,2
AMESET,cocrystal,2
AMETOD,salt,1
AMFORM,salt,1
AMHBZO,salt,1
AMHCIN,salt,1
AMHCLA,salt,1
AMHMAM,salt,1
AMHMAN,hydrate,3
AMHTAR,salt,1
AMHTCA,salt,1
AMIDEF,cocrystal,2
AMIDIJ,cocrystal,2
AMIDOP,salt,1
AMIFAD,salt,1
AMIFEH,salt,1
AMIGUA,hydrate,3
AMIHAH,cocrystal,2
AMIKIS,salt,1
AMILEN,cocrystal,2
AMILOX,cocrystal,2
AMILUD,cocrystal,2
AMIMAK,cocrystal,2
AMIMCC,salt,1
AMIMEO,cocrystal,2
AMINER,salt,1
AMIVOI,hydrate,3
AMIVUO,cocrystal,2
AMIWAV,hydrate,3
AMIWEZ,hydrate,3
AMIYUR,salt,1
AMIZAY,salt,1
AMMFAC,salt,1
AMONAN10,salt,1
AMOROT,hydrate,3
AMOXAL,hydrate,3
AMOXAM,salt,1
AMOZAG,salt,1
AMPETP,salt,1
AMPETS,salt,1
AMPICR,salt,1
AMPPSM,salt,1
AMTBUB,salt,1
AMTFAC,salt,1
AMTPCY,salt,1
AMUBAM,cocrystal,2
AMUCAO,cocrystal,2
AMUQAB,salt,1
ANAPOX,salt,1
ANAWOE,cocrystal,2
ANAYOG,cocrystal,2
ANAZAT,cocrystal,2
ANCPOL,cocrystal,2
ANCTNB,cocrystal,2
ANDTRD,cocrystal,2
ANEFIL,hydrate,3
ANEGEH,salt,1
ANEGIL,salt,1
ANEJOT,solvate,4
ANEJUZ,salt,1
ANEKAG,solvate,4
ANEKEK,solvate,4
ANEKOU,hydrate,3
ANELAH,solvate,4
ANELEL,solvate,4
ANENOX,hydrate,3
ANENUD,hydrate,3
ANEPAL,hydrate,3
ANEYOI,salt,1
ANEYUO,salt,1
ANEZEB,salt,1
ANGSTF,salt,1
ANILEQ,hydrate,3
ANIMUH,cocrystal,2
ANINAO,cocrystal,2
ANINES,cocrystal,2
ANIPET,hydrate,3
ANIPIX,salt,1
ANIPOD,solvate,4
ANIQAQ,salt,1
ANITOJ,salt,1
ANITUP,salt,1
ANIVAX,hydrate,3
ANLPCP,cocrystal,2
ANOLIZ,cocrystal,2
ANOLOF,cocrystal,2
ANOLUL,cocrystal,2
ANOMAS,cocrystal,2
ANOPOK,salt,1
ANOPUP,cocrystal,2
ANORAX,cocrystal,2
ANOTAZ,cocrystal,2
ANOVAC,salt,1
ANOVIK,salt,1
ANPHXN,cocrystal,2
ANTCYB,cocrystal,2
ANTPIC,cocrystal,2
ANTPML,cocrystal,2
ANTTCN,solvate,4
ANULIF,cocrystal,2
ANUMEC,cocrystal,2
ANUNAZ,hydrate,3
ANUNED,cocrystal,2
ANUPIJ,cocrystal,2
ANUPUV,cocrystal,2
ANUQAC,cocrystal,2
APADIH,solvate,4
APADOL,solvate,4
APADUS,salt,1
APAKIM,salt,1
APAKOS,salt,1
APALIN,salt,1
APALOT,salt,1
APALUZ,salt,1
APAMEK,hydrate,3
APAMIO,hydrate,3
APANBZ,cocrystal,2
APARUF,solvate,4
APASEQ,salt,1
APCDPS,salt,1
APCRBP10,salt,1
APEGEI,cocrystal,2
APEGEJ,cocrystal,2
APEGIN,cocrystal,2
APEGUZ,cocrystal,2
APEHEJ,cocrystal,2
APEHEK,cocrystal,2
APESOE,solvate,4
APEVAU,hydrate,3
APICEI,salt,1
APIJUH,salt,1
APITAW,salt,1
APITIE,salt,1
APITOK,salt,1
APITUQ,salt,1
APIVAY,salt,1
APIVEC,salt,1
APIVED,cocrystal,2
APIWAA,salt,1
APIWAZ,salt,1
APIWED,salt,1
APODOB,salt,1
APOKUM,hydrate,3
APOSAB,salt,1
APPSMA,salt,1
APRCYP10,cocrystal,2
APUFUO,salt,1
APUGAV,salt,1
APUGEZ,salt,1
APUJUQ,solvate,4
APUKEB,salt,1
APUKUR,salt,1
APUKUS,salt,1
APULEC,salt,1
APULOM,salt,1
APULUS,salt,1
APUMAZ,solvate,4
APUMED,salt,1
APURAE,salt,1
APUTEN,hydrate,3
APUTIP,cocrystal,2
APUVOZ,hydrate,3
APUVUE,salt,1
APUVUF,cocrystal,2
APUWAM,salt,1
APUWEP,salt,1
APUWEQ,salt,1
APUWIU,salt,1
APUWOA,cocrystal,2
APUYAN,salt,1
APUZAN,salt,1
APYSAL,cocrystal,2
AQAFIH,cocrystal,2
AQAGEF,salt,1
AQAGIJ,hydrate,3
AQAHEI,salt,1
AQATAO,salt,1
AQATUI,salt,1
AQAXIA,salt,1
AQAXUN,cocrystal,2
AQECIJ,salt,1
AQEJEO,cocrystal,2
AQEPIX,cocrystal,2
AQEQUJ,hydrate,3
AQEZII,cocrystal,2
AQEZOO,cocrystal,2
AQEZUU,cocrystal,2
AQIBAG,hydrate,3
AQIDOW,salt,1
AQIKOB,cocrystal,2
AQIKOD,salt,1
AQOCEQ,salt,1
AQOCIU,salt,1
AQODIV,salt,1
AQOHIY,salt,1
AQONIG,cocrystal,2
AQORUU,salt,1
AQOSAB,salt,1
AQOVEJ,salt,1
AQOXUC,salt,1
AQUBAR,cocrystal,2
AQUCEV,cocrystal,2
AQUFEY,cocrystal,2
AQUFID,hydrate,3
AQUFOK,salt,1
AQUHAX,cocrystal,2
AQUMEH,cocrystal,2
AQUMIL,cocrystal,2
ARAFOR,cocrystal,2
ARAHEG,salt,1
ARAMAK,cocrystal,2
ARAMEO,cocrystal,2
ARAMOX,cocrystal,2
ARAMUD,cocrystal,2
ARAQIV,hydrate,3
AREFAG,salt,1
AREJIR,salt,1
AREJOX,salt,1
AREJOZ,cocrystal,2
AREJUF,salt,1
ARENIW,salt,1
ARENOC,salt,1
ARENUI,salt,1
AREZOP,salt,1
ARGEPO10,salt,1
ARGGLU10,hydrate,3
ARIFOX,cocrystal,2
ARIFUE,cocrystal,2
ARIGAK,hydrate,3
ARIHAM,salt,1
ARIPUP,hydrate,3
ARIWAA,cocrystal,2
AROTUX,cocrystal,2
AROWUA,hydrate,3
AROZIQ,salt,1
ARUCUO,salt,1
ARUDAS,hydrate,3
ARUDEZ,salt,1
ARUDUP,salt,1
ARURIQ,cocrystal,2
ARUROW,cocrystal,2
ARURUC,cocrystal,2
ARUSEN,cocrystal,2
ASAKIO,cocrystal,2
ASAKOU,cocrystal,2
ASAPIV,salt,1
ASAREU,salt,1
ASAVIZ,cocrystal,2
ASAVUL,cocrystal,2
ASAXIB,cocrystal,2
ASAXOH,cocrystal,2
ASAXUN,cocrystal,2
ASAYEY,cocrystal,2
ASAYIC,cocrystal,2
ASAZUR,salt,1
ASEFIO,salt,1
ASEFOU,salt,1
ASELOC,solvate,4
ASEROH,salt,1
ASETID,salt,1
ASEZUU,solvate,4
ASIBAG,solvate,4
ASIHAN,salt,1
ASIHIV,salt,1
ASIJER,cocrystal,2
ASIWIJ,cocrystal,2
ASIZEI,cocrystal,2
ASKNBZ,cocrystal,2
ASOCIW,salt,1
ASODOD,salt,1
ASOFOD,salt,1
ASOGAT,solvate,4
ASOGEX,solvate,4
ASOGIB,solvate,4
ASOGUK,salt,1
ASOLOM,salt,1
ASOLUP,salt,1
ASOMAW,salt,1
ASOMEA,salt,1
ASOMIE,salt,1
ASOMOK,salt,1
ASONAX,salt,1
ASONEB,salt,1
ASONIF,salt,1
ASONOL,salt,1
ASOPAZ,salt,1
ASOPED,salt,1
ASOPIH,salt,1
ASOYAJ,salt,1
ASUCEZ,solvate,4
ASUJEF,hydrate,3
ASULOP,salt,1
ASUMOS,hydrate,3
ASUMUY,salt,1
ASUNAF,hydrate,3
ASUPOV,hydrate,3
ASUPUB,hydrate,3
ASURAI,hydrate,3
ATAFUZ,cocrystal,2
ATAGAG,cocrystal,2
ATAGEK,cocrystal,2
ATAGIO,cocrystal,2
ATAGOU,cocrystal,2
ATAGUA,cocrystal,2
ATAHAH,cocrystal,2
ATAHEL,cocrystal,2
ATAHIP,cocrystal,2
ATAHOV,solvate,4
ATAHUB,cocrystal,2
ATAJAJ,cocrystal,2
ATAJEN,cocrystal,2
ATAJIR,cocrystal,2
ATAJUD,cocrystal,2
ATAKAK,cocrystal,2
ATAKEO,cocrystal,2
ATAKIS,cocrystal,2
ATALEP,hydrate,3
ATALIT,hydrate,3
ATALOZ,cocrystal,2
ATAYEC,salt,1
ATAYIG,cocrystal,2
ATAZEB,salt,1
ATEGIQ,salt,1
ATEJAL,salt,1
ATEJEP,salt,1
ATEQUL,salt,1
ATERAS,salt,1
ATEXOM,cocrystal,2
ATICIP,cocrystal,2
ATIDAJ,salt,1
ATIDEN,hydrate,3
ATIDIR,salt,1
ATIDUD,salt,1
ATIFAL,salt,1
ATIFEP,salt,1
ATIHUJ,salt,1
ATIJAR,salt,1
ATINEX,salt,1
ATINIB,salt,1
ATINUN,salt,1
ATIPAV,salt,1
ATIPEZ,hydrate,3
ATIRUT,cocrystal,2
ATODOD,solvate,4
ATOFAR,salt,1
ATOFEX,salt,1
ATOFIB,salt,1
ATOHUN,hydrate,3
ATOLAX,hydrate,3
ATOLEB,hydrate,3
ATOLIF,hydrate,3
ATOLOL,salt,1
ATOMAY,salt,1
ATOMEC,salt,1
ATONAZ,salt,1
ATOVOX,cocrystal,2
ATOVUD,salt,1
ATOWAK,hydrate,3
ATOWOV,salt,1
ATUBAT,salt,1
ATULOT,salt,1
ATUTOY,salt,1
ATUVEQ,salt,1
ATUWOB,salt,1
ATUXEV,hydrate,3
ATUXUJ,hydrate,3
ATUZIY,salt,1
ATZOPI,salt,1
ATZQZN,salt,1
AURMIN,salt,1
AVABEH,salt,1
AVACUY,salt,1
AVAGUC,salt,1
AVAKEO,solvate,4
AVAKUG,salt,1
AVEHER,hydrate,3
AVEHIV,solvate,4
AVEJET,cocrystal,2
AVEJOD,solvate,4
AVEJUJ,cocrystal,2
AVEKIY,cocrystal,2
AVEMAR,hydrate,3
AVENOF,cocrystal,2
AVEQIC,solvate,4
AVEQOI,cocrystal,2
AVESOJ,cocrystal,2
AVETEA,salt,1
AVILOH,salt,1
AVILUN,hydrate,3
AVIPEA,cocrystal,2
AVISUU,salt,1
AVIWEH,cocrystal,2
AVIYAI,cocrystal,2
AVOGAV,salt,1
AVOJAX,salt,1
AVOJEB,salt,1
AVOJIF,solvate,4
AVOJOL,solvate,4
AVOQAD,salt,1
AVOVAK,hydrate,3
AVOVEO,hydrate,3
AVOVOY,hydrate,3
AVOVUE,hydrate,3
AVOWAL,hydrate,3
AVOWAM,cocrystal,2
AVOYUI,salt,1
AVUDOL,solvate,4
AVULEK,cocrystal,2
AVUMIQ,cocrystal,2
AVURUG,cocrystal,2
AWABUW,cocrystal,2
AWACEI,cocrystal,2
AWACIM,cocrystal,2
AWAWIE,salt,1
AWAXIG,solvate,4
AWAXOM,solvate,4
AWAYUV,salt,1
AWEBIQ,salt,1
AWEBOW,salt,1
AWEGER,salt,1
AWEGIV,salt,1
AWEHIT,salt,1
AWEROL,salt,1
AWETEE,cocrystal,2
AWEVAB,salt,1
AWEVUV,cocrystal,2
AWEWAC,cocrystal,2
AWEWEG,cocrystal,2
AWEWIK,cocrystal,2
AWEWOQ,cocrystal,2
AWEXEH,cocrystal,2
AWEXIL,cocrystal,2
AWEXUW,cocrystal,2
AWIDER,hydrate,3
AWIGIZ,salt,1
AWIHIA,cocrystal,2
AWIHIY,salt,1
AWIHOE,cocrystal,2
AWIJUM,salt,1
AWITIM,cocrystal,2
AWITOS,cocrystal,2
AWIVIM,salt,1
AWOJIH,cocrystal,2
AWOJON,cocrystal,2
AWOQUY,salt,1
AWUDEB,cocrystal,2
AWUHOQ,salt,1
AWUJEJ,salt,1
AWUJIN,salt,1
AWUKOT,hydrate,3
AWUMAH,salt,1
AWUPIU,cocrystal,2
AWUQEP,salt,1
AWUQIT,salt,1
AWUQUF,cocrystal,2
AWUROA,salt,1
AWUVET,salt,1
AWUVEU,cocrystal,2
AWUVOD,hydrate,3
AWUWAT,cocrystal,2
AWUWEX,cocrystal,2
AWUWOH,cocrystal,2
AWUWUM,salt,1
AWUXAU,cocrystal,2
AWUYEZ,salt,1
AWUYIB,salt,1
AWUYID,salt,1
AWUYOJ,salt,1
AWUYUP,salt,1
AWUZAW,salt,1
AWUZEA,salt,1
AWUZOK,salt,1
AWUZUO,solvate,4
AWUZUQ,salt,1
AXABUY,salt,1
AXACEI,hydrate,3
AXADEJ,salt,1
AXAJEQ,salt,1
AXAKOA,salt,1
AXAKUG,cocrystal,2
AXALUI,cocrystal,2
AXAMIX,salt,1
AXAMOD,hydrate,3
AXAMUI,salt,1
AXAMUJ,hydrate,3
AXANIX,hydrate,3
AXAQAS,salt,1
AXAQEW,salt,1
AXARUN,salt,1
AXASEY,salt,1
AXASOH,cocrystal,2
AXEDAL,salt,1
AXEDEP,salt,1
AXEJOE,cocrystal,2
AXEXAE,salt,1
AXEXOS,hydrate,3
AXIBEQ,salt,1
AXIDAO,salt,1
AXIFAQ,salt,1
AXILUQ,cocrystal,2
AXIMAX,cocrystal,2
AXIZOY02,salt,1
AXIZUE,salt,1
AXOBAS,salt,1
AXOBEW,hydrate,3
AXOGIE,cocrystal,2
AXOGOK,cocrystal,2
AXOJAB,cocrystal,2
AXOJOP,cocrystal,2
AXOJUV,cocrystal,2
AXOKAC,cocrystal,2
AXOKEG,cocrystal,2
AXOKIK,cocrystal,2
AXONUY02,solvate,4
AXOPAF,cocrystal,2
AXOPEJ,cocrystal,2
AXOPIN,cocrystal,2
AXOPIO,salt,1
AXOQUB,hydrate,3
AXORAI,solvate,4
AXORIO,cocrystal,2
AXOROU,cocrystal,2
