external_index,source_row,reactant_A,reactant_B,label_str,label_int,identifier,pair_key,split,holdout_feature_index,fine_tune_forward_feature_index,fine_tune_reverse_feature_index,reference_forward_fingerprint
10,12,Nc1ccnc(N)[n+]1[O-],Nc1cc(C(=O)O)ccc1C(=O)O,hydrate,3,,"[""Nc1cc(C(=O)O)ccc1C(=O)O"",""Nc1ccnc(N)[n+]1[O-]""]",holdout,6,,,575b18e697f013d89027588c76dbd48b39fb62daad707e659a8584688d39a885
11,13,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(O)c(O)c1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(O)c(O)c1""]",holdout,7,,,d9d081a35b3982a8728d943f9f5e87e4f321960d3fdf88adc934aefc0e44763c
12,14,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(C(=O)O)cc1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(C(=O)O)cc1""]",fine_tune,,44,58,471bc5ac94efdfefe594a8b4896b56712d6f59ec8eda295b56962a50d63a02c6
13,15,Nc1ccnc(N)[n+]1[O-],Nc1ccc(C(=O)O)c(O)c1,failed,0,,"[""Nc1ccc(C(=O)O)c(O)c1"",""Nc1ccnc(N)[n+]1[O-]""]",holdout,8,,,8cadc42f32a7f6c489474bc1b502a41f80d38acf7a2d4dc83e0d0ff641ea7e63
14,16,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(O)cc1O,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(O)cc1O""]",holdout,9,,,5c8388cb1aec9ca1635f522accb1b5da6ac41a7e358890a502d3d201cbda26d2
15,17,Nc1ccnc(N)[n+]1[O-],O=C(O)[C@@H](O)[C@@H](O)C(=O)O,salt,1,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)[C@@H](O)[C@@H](O)C(=O)O""]",holdout,10,,,82289fffb0cb1197f3130f22e50272cf1210aace52d6f4733c2a6abe5f49efee
16,18,Nc1ccnc(N)[n+]1[O-],COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,failed,0,,"[""COc1c(C)c2c(c(O)c1C/C=C(\\C)CCC(=O)O)C(=O)OC2"",""Nc1ccnc(N)[n+]1[O-]""]",holdout,11,,,f1bb632d0eed82df86370ce051189af426f2b299cbab7ced309539ebd66a936d
17,19,Nc1ccnc(N)[n+]1[O-],Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,failed,0,,"[""Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O"",""Nc1ccnc(N)[n+]1[O-]""]",holdout,12,,,84e5c55012d6fa0877d8d59e34ced3e495c2d1453ef0656784c097b7bb2f0197
18,20,Nc1ccnc(N)[n+]1[O-],O=S(=O)(O)c1ccc2ccccc2c1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=S(=O)(O)c1ccc2ccccc2c1""]",holdout,13,,,9770cfda972450e214d0f37248a388d1b22b474cace1886aadf387e5831005d1
19,21,Nc1ccnc(N)[n+]1[O-],Cc1ccccc1C(=O)O,failed,0,,"[""Cc1ccccc1C(=O)O"",""Nc1ccnc(N)[n+]1[O-]""]",holdout,14,,,aed28aa7f99810008f391aa07925b19f490abfca0d62017c30813357d150c190
20,22,Nc1ccnc(N)[n+]1[O-],CC(C)(C)c1ccc(C(=O)O)cc1,failed,0,,"[""CC(C)(C)c1ccc(C(=O)O)cc1"",""Nc1ccnc(N)[n+]1[O-]""]",holdout,15,,,47341fef5d3086655f8a9889b49fa62396894bd815b6fec523682d8bb18ec920
21,23,Nc1ccnc(N)[n+]1[O-],O=C(O)c1cc(Cl)cc(Cl)c1,cocrystal,2,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1cc(Cl)cc(Cl)c1""]",fine_tune,,45,59,12fa6420d61628d7c4efaa7a748bb9a750ed9fc9bfe4bf3d27d132406b1569e4
22,24,Nc1ccnc(N)[n+]1[O-],Cc1ccc(C(=O)O)c(O)c1,hydrate,3,,"[""Cc1ccc(C(=O)O)c(O)c1"",""Nc1ccnc(N)[n+]1[O-]""]",holdout,16,,,358e3f3e9c3f54bc23fae9f52a6d3ab0529ede02653a7ce87c5393eaca45de10
23,25,Nc1ccnc(N)[n+]1[O-],O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12""]",holdout,17,,,740a13de1be7249261cd3c1faf066fa0cccdf59fb09ef61fb2d9197f5a0906bc
24,26,Nc1ccnc(N)[n+]1[O-],O=C(O)c1cc(O)cc(C(=O)O)c1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1cc(O)cc(C(=O)O)c1""]",holdout,18,,,6f81158cac2b938188d6a889ebe74483e4f0441f81770ed6c92b6307e36dd929
25,27,Nc1ccnc(N)[n+]1[O-],O=C(O)c1cccs1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1cccs1""]",holdout,19,,,9662ed01dc716dcf1b5f1b7ad4bb5220fd5c5192e0f0543c4ad502a600c07ed4
26,28,Nc1ccnc(N)[n+]1[O-],O=C(O)Cc1ccc(O)cc1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)Cc1ccc(O)cc1""]",holdout,20,,,47cc02e8b2e1def28a4b9cc201e371a060bcdf3955c6efaed7fcf96d1b02cac4
27,29,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(Cl)c(Cl)c1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(Cl)c(Cl)c1""]",holdout,21,,,74c18a9eb212cb2de46e2732034774a97933d337b33519301c4ec78d7d264d9c
28,30,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(Cl)cc1Cl,salt,1,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(Cl)cc1Cl""]",fine_tune,,46,60,4d9fbb3aeeb70484b1de728a48b55b2b93d3ddba4ead90bc32954a56ae1d0986
29,31,Nc1ccnc(N)[n+]1[O-],O=C(O)c1c(O)cccc1O,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1c(O)cccc1O""]",holdout,22,,,5318be9bf3b549b3d9c93fa98b97ad9fa43c330e06ab794271c24c256b485b82
30,32,Nc1ccnc(N)[n+]1[O-],O=[N+]([O-])c1ccc(O)cc1Cl,failed,0,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=[N+]([O-])c1ccc(O)cc1Cl""]",holdout,23,,,a9f3ba0495354f335adfdee1bd510820fd80e990efb44b4d35ebbe68489345e6
31,33,Nc1ccnc(N)[n+]1[O-],O=C(O)c1cccc(C(=O)O)n1,cocrystal,2,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1cccc(C(=O)O)n1""]",holdout,24,,,7acfc979915467c1639dd4e3ccd797f271ce5689a4914f2a25ef36e2e802f9cc
32,34,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)CCC(=O)O,salt,1,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)CCC(=O)O""]",holdout,25,,,6a25c4ec0d8a5be499bb6bdfe340221d7a975df448845fc98fd0e3fb526244fd
33,35,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)/C=C/C(=O)O,salt,1,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)/C=C/C(=O)O""]",holdout,26,,,eb0e21923ad627f233877f85670aee9c23e7fb0c2f8e4ee3f353804bead1efdb
34,36,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)CCCCC(=O)O,salt,1,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)CCCCC(=O)O""]",holdout,27,,,9e921f5ed91b58beaf64a6b7c87db05242110ef73c2d7e208ae9d9a463441f55
35,37,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccccc1,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccccc1""]",holdout,28,,,9f58078509855b34f3ee1e4fcde54c2a27243852e5f000d544f691a0154223f6
36,38,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccc2ccccc2c1O,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccc2ccccc2c1O""]",holdout,29,,,a5c74dc7bafb10a5759d387a33f3c4e30e55ec07a5bf26cdb5c4c602a08f15fc
37,39,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccc(O)cc1,failed,0,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccc(O)cc1""]",holdout,30,,,2f2c3c05734eb847b46ebedf8f1133a0d4428b4215c325ef9098a65014a9c25c
38,40,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],Nc1ccc(C(=O)O)cc1,failed,0,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""Nc1ccc(C(=O)O)cc1""]",holdout,31,,,0082089381c2fe751e5bc7c0ad5c47742e98f7fa6bf0b990feed2011c3520da9
39,41,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccccc1C(=O)O,salt,1,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccccc1C(=O)O""]",holdout,32,,,4b55b803b7138dbd59062d8ef955e2f73801ce6900c6225238be039730ac2276
40,42,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1cccc(C(=O)O)c1,hydrate,3,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1cccc(C(=O)O)c1""]",holdout,33,,,7c023c5d13f1267815f9dc0e8138e99559e76565881cbf4424d7b5e498fb8f38
41,43,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccccc1O,hydrate,3,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccccc1O""]",holdout,34,,,ada204a5001c9f8ebf76b72701c941f1ccac5068d8084e9c7d3004a58793b923
42,44,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],Nc1cc(C(=O)O)ccc1C(=O)O,salt,1,,"[""Nc1cc(C(=O)O)ccc1C(=O)O"",""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]""]",fine_tune,,47,61,4ade71268e1942566490aa4ce2a6d9b403bf1f1deda39b01b01cbcc64e167d0f
43,45,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccc(O)c(O)c1,failed,0,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccc(O)c(O)c1""]",holdout,35,,,1fcc4ed65cfe762f374c9acb2a1c1954744558d01cd5667c302bfb89a0537034
44,46,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccc(C(=O)O)cc1,salt,1,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccc(C(=O)O)cc1""]",holdout,36,,,475b7d933096ee91b57f954c8c18ae47a6f8d11ad08e2c91e12c360dea59c53d
45,47,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],Nc1ccc(C(=O)O)c(O)c1,hydrate,3,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""Nc1ccc(C(=O)O)c(O)c1""]",fine_tune,,48,62,733da27b9db409b17f99e1bcc93b9e4232f4ed661368da8a3106b4c5f3b9fdcb
46,48,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccc(O)cc1O,failed,0,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccc(O)cc1O""]",holdout,37,,,36bc70909535c872c13d09fc1e4b817c7cf1ab467c5179201ba423f18bd58df3
47,49,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)[C@@H](O)[C@@H](O)C(=O)O,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)[C@@H](O)[C@@H](O)C(=O)O""]",holdout,38,,,d3fc0da3dcbb932ed03f599d194341c98fafcc0471241708ce3a4ef6e09c37bc
48,50,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,failed,0,,"[""COc1c(C)c2c(c(O)c1C/C=C(\\C)CCC(=O)O)C(=O)OC2"",""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]""]",holdout,39,,,5c8098eba10b8b40f0ddb4f9f7fa018847bf0f935bff660f3aaac9c8e53e5917
49,51,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,salt,1,,"[""Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O"",""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]""]",holdout,40,,,a29eb9d5ffe6de8e91944bdfba3bc62782686680ae6d64e70c63b5e2ad5b0064
50,52,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=S(=O)(O)c1ccc2ccccc2c1,hydrate,3,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=S(=O)(O)c1ccc2ccccc2c1""]",holdout,41,,,11d839c851befc7a2c05c76bedf89e897f7a87ccbd8888da87e930cad49ee7ce
51,53,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],Cc1ccccc1C(=O)O,failed,0,,"[""Cc1ccccc1C(=O)O"",""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]""]",holdout,42,,,89fad3d0ebc502759f70f398f64ba0e51f44435ab5d417caf4a7e020754e916d
52,54,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],CC(C)(C)c1ccc(C(=O)O)cc1,salt,1,,"[""CC(C)(C)c1ccc(C(=O)O)cc1"",""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]""]",fine_tune,,49,63,e3444f62e64e805c4e334bf556605e789721b506b8657fd257583e55eccdf474
53,55,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1cc(Cl)cc(Cl)c1,salt,1,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1cc(Cl)cc(Cl)c1""]",holdout,43,,,3c4c2032fbb783a993c351236b96b1fd8377a71faa092a1dbfc7d7a755f329fe
54,56,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],Cc1ccc(C(=O)O)c(O)c1,hydrate,3,,"[""Cc1ccc(C(=O)O)c(O)c1"",""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]""]",holdout,44,,,38f0591950d9f9712874c9877643f97a440d6194020e6a9a6b5e8468619d50dd
55,57,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,hydrate,3,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12""]",holdout,45,,,de37d1148313f2d4e07a64572771fd3d61efa55c1ebc893fef0194803c2d4926
56,58,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1cc(O)cc(C(=O)O)c1,failed,0,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1cc(O)cc(C(=O)O)c1""]",holdout,46,,,84ac788d178665d43ebf9140e5b6dece6615f70d4c31c1b71157dc13c992cd76
57,59,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1cccs1,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1cccs1""]",holdout,47,,,feb350ed7e10f71a7d1db9be4cc6614e3aa4c476746408e84fd3c8a6b4422576
58,60,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)Cc1ccc(O)cc1,salt,1,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)Cc1ccc(O)cc1""]",fine_tune,,50,64,4e845d3c6c9307ff67ca4c78c84f29c80f64d218697c0ef2e4fea4bea506bbbf
59,61,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccc(Cl)c(Cl)c1,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccc(Cl)c(Cl)c1""]",fine_tune,,51,65,d1d76b19f1c0e4ffa3ac24b70d71616921c9d0262782620d1af86c7a1c292d93
60,62,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccc(Cl)cc1Cl,failed,0,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccc(Cl)cc1Cl""]",holdout,48,,,78d36704fcd4e708497c1bde852a915118a498d800429db228545e69d66f0089
61,63,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1c(O)cccc1O,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1c(O)cccc1O""]",fine_tune,,52,66,1ba537b8af33c2b23195805820b577dcb9644d69ccd0104386d08d46b7d2c704
62,64,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=[N+]([O-])c1ccc(O)cc1Cl,failed,0,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=[N+]([O-])c1ccc(O)cc1Cl""]",fine_tune,,53,67,1202d4e7d855ee585726a2a73b2660e45d5bdd1799615118a0df641b9a1fa07e
63,65,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1cccc(C(=O)O)n1,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1cccc(C(=O)O)n1""]",holdout,49,,,d50748ce8649511f3d65e0a79b468c20b18d0a1e085a1bbce8668fb4804d61a0
